;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
0;Wales;lost;16;21;-5;16;8;England;Millennium Stadium;2015-02-06;81.64;84.85
1;France;won;15;8;7;9;8;Scotland;Stade de France;2015-02-07;79.66;78.78
2;Scotland;lost;8;15;-7;8;9;France;Stade de France;2015-02-07;78.78;79.66
3;Italy;lost;3;26;-23;3;9;Ireland;Rome;2015-02-07;71.19;85.48
4;Ireland;won;26;3;23;9;3;Italy;Rome;2015-02-07;85.48;71.19
5;Italy;lost;17;47;-30;5;15;England;Twickenham;2015-02-14
6;Ireland;won;18;11;7;12;6;France;Lansdowne Road;2015-02-14;;
7;France;lost;11;18;-7;6;12;Ireland;Lansdowne Road;2015-02-14;;
8;Wales;won;26;23;3;16;10;Scotland;Murrayfield;2015-02-15;;
9;Scotland;lost;23;26;-3;10;16;Wales;Murrayfield;2015-02-15;;
10;France;lost;13;20;-7;3;6;Wales;Stade de France;2015-02-28;;
11;Italy;won;22;19;3;15;16;Scotland;Murrayfield;2015-02-28;;
12;Wales;won;20;13;7;6;3;France;Stade de France;2015-02-28;;
13;Scotland;lost;19;22;-3;16;15;Italy;Murrayfield;2015-02-28;;
14;Ireland;won;19;9;10;9;3;England;Lansdowne Road;2015-03-01;;
15;Russia;lost;0;33;-33;0;6;Georgia;Tbilisi;2015-03-14;64.73;71.19
16;Georgia;won;33;0;33;6;0;Russia;Tbilisi;2015-03-14;71.19;64.73
17;Scotland;lost;13;25;-12;13;10;England;Twickenham;2015-03-14;;
18;Wales;won;23;16;7;15;9;Ireland;Millennium Stadium;2015-03-14;;
19;Ireland;lost;16;23;-7;9;15;Wales;Millennium Stadium;2015-03-14;;
20;France;won;29;0;29;9;0;Italy;Rome;2015-03-15;;
21;Italy;lost;0;29;-29;0;9;France;Rome;2015-03-15;;
22;Ireland;won;40;10;30;20;10;Scotland;Murrayfield;2015-03-21;;
23;Wales;won;61;20;41;14;13;Italy;Rome;2015-03-21;;
24;Scotland;lost;10;40;-30;10;20;Ireland;Murrayfield;2015-03-21;;
25;Italy;lost;20;61;-41;13;14;Wales;Rome;2015-03-21;;
26;France;lost;35;55;-20;15;27;England;Twickenham;2015-03-21;;
27;Argentina;won;36;14;22;24;9;Uruguay;Montevideo;2015-05-16;76.29;65.18
28;Georgia;won;19;10;9;13;3;Uruguay;Tbilisi;2015-06-13;;
29;Samoa;lost;16;25;-9;3;12;New Zealand;Apia;2015-07-08;75.39;93.70
30;New Zealand;won;25;16;9;12;3;Samoa;Apia;2015-07-08;93.70;75.39
31;Russia;lost;19;39;-20;12;13;Namibia;Windhoek;2015-07-11;64.65;57.74
32;Namibia;won;39;19;20;13;12;Russia;Windhoek;2015-07-11;57.74;64.65
33;Argentina;lost;18;39;-21;6;18;New Zealand;Christchurch;2015-07-17;;
34;New Zealand;won;39;18;21;18;6;Argentina;Christchurch;2015-07-17;;
35;Japan;won;20;6;14;11;3;Canada;San Jose;2015-07-18;73.70;66.83
36;Namibia;won;45;5;40;16;5;Russia;Windhoek;2015-07-18;;
37;South Africa;lost;20;24;-4;13;7;Australia;Brisbane;2015-07-18;88.23;82.95
38;Samoa;won;21;16;5;21;3;United States of America;San Jose;2015-07-18;;67.61
39;Tonga;lost;22;30;-8;8;10;Fiji;Suva;2015-07-18;74.12;74.57
40;Russia;lost;5;45;-40;5;16;Namibia;Windhoek;2015-07-18;;
41;United States of America;lost;16;21;-5;3;21;Samoa;San Jose;2015-07-18;;
42;Canada;lost;6;20;-14;3;11;Japan;San Jose;2015-07-18;;
43;Australia;won;24;20;4;7;13;South Africa;Brisbane;2015-07-18;;
44;Samoa;draw;30;30;0;10;17;Fiji;Sacramento;2015-07-24;;
45;Tonga;won;28;18;10;10;15;Canada;Vancouver;2015-07-24;;
46;Japan;lost;18;23;-5;11;9;United States of America;Sacramento;2015-07-24;;
47;Canada;lost;18;28;-10;15;10;Tonga;Vancouver;2015-07-24;;
48;United States of America;won;23;18;5;9;11;Japan;Sacramento;2015-07-24;;
49;New Zealand;won;27;20;7;10;10;South Africa;Johannesburg;2015-07-25;;
50;Australia;won;34;9;25;8;6;Argentina;Mendoza;2015-07-25;;
51;South Africa;lost;20;27;-7;10;10;New Zealand;Johannesburg;2015-07-25;;
52;Argentina;lost;9;34;-25;6;8;Australia;Mendoza;2015-07-25;;
53;Tonga;won;33;19;14;16;3;United States of America;Toronto;2015-07-29;;
54;United States of America;lost;19;33;-14;3;16;Tonga;Toronto;2015-07-29;;
55;Samoa;won;21;20;1;3;13;Canada;Toronto;2015-07-29;;
56;Japan;lost;22;27;-5;9;24;Fiji;Toronto;2015-07-29;;
57;Canada;lost;20;21;-1;13;3;Samoa;Toronto;2015-07-29;;
58;Samoa;lost;29;39;-10;9;17;Fiji;Vancouver;2015-08-03;;
59;Tonga;won;31;20;11;16;11;Japan;Vancouver;2015-08-03;;
60;Canada;lost;13;15;-2;3;12;United States of America;Vancouver;2015-08-03;;
61;Japan;lost;20;31;-11;11;16;Tonga;Vancouver;2015-08-03;;
62;United States of America;won;15;13;2;12;3;Canada;Vancouver;2015-08-03;;
63;Argentina;won;37;25;12;27;13;South Africa;Durban;2015-08-08;;
64;Ireland;won;35;21;14;25;7;Wales;Millennium Stadium;2015-08-08;;
65;New Zealand;lost;19;27;-8;6;3;Australia;Sydney;2015-08-08;;
66;Australia;won;27;19;8;3;6;New Zealand;Sydney;2015-08-08;;
67;Wales;lost;21;35;-14;7;25;Ireland;Millennium Stadium;2015-08-08;;
68;South Africa;lost;25;37;-12;13;27;Argentina;Durban;2015-08-08;;
69;Australia;lost;13;41;-28;6;13;New Zealand;Auckland;2015-08-15;;
70;South Africa;won;26;12;14;20;9;Argentina;Buenos Aires;2015-08-15;;
71;Ireland;won;28;22;6;7;7;Scotland;Lansdowne Road;2015-08-15;;
72;France;lost;14;19;-5;9;12;England;Twickenham;2015-08-15;;
73;Scotland;lost;22;28;-6;7;7;Ireland;Lansdowne Road;2015-08-15;;
74;New Zealand;won;41;13;28;13;6;Australia;Auckland;2015-08-15;;
75;Argentina;lost;12;26;-14;9;20;South Africa;Buenos Aires;2015-08-15;;
76;Japan;won;30;8;22;17;8;Uruguay;Fukuoka;2015-08-22;;
77;France;won;25;20;5;15;6;England;Stade de France;2015-08-22;;
78;Scotland;won;16;12;4;9;9;Italy;Torino;2015-08-22;;
79;Canada;lost;23;41;-18;6;17;United States of America;Nepean;2015-08-22;;
80;United States of America;won;41;23;18;17;6;Canada;Nepean;2015-08-22;;
81;Italy;lost;12;16;-4;9;9;Scotland;Torino;2015-08-22;;
82;Italy;lost;7;48;-41;7;23;Scotland;Murrayfield;2015-08-29;;
83;Scotland;won;48;7;41;23;7;Italy;Murrayfield;2015-08-29;;
84;Wales;won;16;10;6;10;10;Ireland;Lansdowne Road;2015-08-29;;
85;Ireland;lost;10;16;-6;10;10;Wales;Lansdowne Road;2015-08-29;;
86;Japan;won;40;0;40;21;0;Uruguay;Tokyo;2015-08-29;;
87;Canada;won;16;15;1;13;10;Georgia;Esher;2015-09-02;;
88;Georgia;lost;15;16;-1;10;13;Canada;Esher;2015-09-02;;
89;Georgia;lost;10;13;-3;7;6;Japan;Gloucester;2015-09-05;;
90;Ireland;lost;13;21;-8;3;12;England;Twickenham;2015-09-05;;
91;France;won;19;16;3;6;9;Scotland;Stade de France;2015-09-05;;
92;Italy;lost;19;23;-4;11;8;Wales;Millennium Stadium;2015-09-05;;
93;Australia;won;47;10;37;14;10;United States of America;Chicago;2015-09-05;;
94;Wales;won;23;19;4;8;11;Italy;Millennium Stadium;2015-09-05;;
95;Japan;won;13;10;3;6;7;Georgia;Gloucester;2015-09-05;;
96;Scotland;lost;16;19;-3;9;6;France;Stade de France;2015-09-05;;
97;United States of America;lost;10;47;-37;10;14;Australia;Chicago;2015-09-05;;
98;Canada;lost;18;47;-29;8;30;Fiji;The Stoop;2015-09-06;;
99;Tonga;lost;10;17;-7;3;10;Georgia;Gloucester;2015-09-19;;
100;France;won;32;10;22;15;3;Italy;Twickenham;2015-09-19;;
101;Japan;won;34;32;2;10;12;South Africa;Brighton;2015-09-19;;
102;Canada;lost;7;50;-43;0;29;Ireland;Millennium Stadium;2015-09-19;;
103;Ireland;won;50;7;43;29;0;Canada;Millennium Stadium;2015-09-19;;
104;Italy;lost;10;32;-22;3;15;France;Twickenham;2015-09-19;;
105;Georgia;won;17;10;7;10;3;Tonga;Gloucester;2015-09-19;;
106;South Africa;lost;32;34;-2;12;10;Japan;Brighton;2015-09-19;;
107;Argentina;lost;16;26;-10;13;12;New Zealand;Wembley;2015-09-20;;
108;United States of America;lost;16;25;-9;8;14;Samoa;Brighton;2015-09-20;;
109;Wales;won;54;9;45;28;9;Uruguay;Millennium Stadium;2015-09-20;;
110;New Zealand;won;26;16;10;12;13;Argentina;Wembley;2015-09-20;;
111;Samoa;won;25;16;9;14;8;United States of America;Brighton;2015-09-20;;
112;Australia;won;28;13;15;18;3;Fiji;Millennium Stadium;2015-09-23;;
113;Japan;lost;10;45;-35;7;12;Scotland;Gloucester;2015-09-23;;
114;Scotland;won;45;10;35;12;7;Japan;Gloucester;2015-09-23;;
115;New Zealand;won;58;14;44;34;6;Namibia;London;2015-09-24;;
116;Namibia;lost;14;58;-44;6;34;New Zealand;London;2015-09-24;;
117;Georgia;lost;9;54;-45;9;14;Argentina;Gloucester;2015-09-25;;
118;Argentina;won;54;9;45;14;9;Georgia;Gloucester;2015-09-25;;
119;Samoa;lost;6;46;-40;6;17;South Africa;Birmingham;2015-09-26;;
120;Italy;won;23;18;5;13;10;Canada;Leeds;2015-09-26;;
121;South Africa;won;46;6;40;17;6;Samoa;Birmingham;2015-09-26;;
122;Wales;won;28;25;3;9;16;England;Twickenham;2015-09-26;;
123;Canada;lost;18;23;-5;10;13;Italy;Leeds;2015-09-26;;
124;United States of America;lost;16;39;-23;13;6;Scotland;Leeds;2015-09-27;;
125;Scotland;won;39;16;23;6;13;United States of America;Leeds;2015-09-27;;
126;Australia;won;65;3;62;31;3;Uruguay;Birmingham;2015-09-27;;
127;Namibia;lost;21;35;-14;7;22;Tonga;Exeter;2015-09-29;;
128;Tonga;won;35;21;14;22;7;Namibia;Exeter;2015-09-29;;
129;Canada;lost;18;41;-23;12;24;France;Milton Keynes;2015-10-01;;
130;France;won;41;18;23;24;12;Canada;Milton Keynes;2015-10-01;;
131;Wales;won;23;13;10;17;6;Fiji;Millennium Stadium;2015-10-01;;
132;Georgia;lost;10;43;-33;10;22;New Zealand;Millennium Stadium;2015-10-02;;
133;New Zealand;won;43;10;33;22;10;Georgia;Millennium Stadium;2015-10-02;;
134;Samoa;lost;5;26;-21;0;20;Japan;Milton Keynes;2015-10-03;;
135;South Africa;won;34;16;18;20;3;Scotland;Newcastle;2015-10-03;;
136;Japan;won;26;5;21;20;0;Samoa;Milton Keynes;2015-10-03;;
137;Australia;won;33;13;20;17;3;England;Twickenham;2015-10-03;;
138;Scotland;lost;16;34;-18;3;20;South Africa;Newcastle;2015-10-03;;
139;Tonga;lost;16;45;-29;13;20;Argentina;Leicester;2015-10-04;;
140;Argentina;won;45;16;29;20;13;Tonga;Leicester;2015-10-04;;
141;Ireland;won;16;9;7;10;6;Italy;London;2015-10-04;;
142;Italy;lost;9;16;-7;6;10;Ireland;London;2015-10-04;;
143;United States of America;lost;0;64;-64;0;14;South Africa;London;2015-10-07;;
144;Georgia;won;17;16;1;0;6;Namibia;Exeter;2015-10-07;;
145;Namibia;lost;16;17;-1;6;0;Georgia;Exeter;2015-10-07;;
146;South Africa;won;64;0;64;14;0;United States of America;London;2015-10-07;;
147;Tonga;lost;9;47;-38;3;14;New Zealand;Newcastle;2015-10-09;;
148;New Zealand;won;47;9;38;14;3;Tonga;Newcastle;2015-10-09;;
149;Australia;won;15;6;9;9;6;Wales;Twickenham;2015-10-10;;
150;Samoa;lost;33;36;-3;26;23;Scotland;Newcastle;2015-10-10;;
151;Scotland;won;36;33;3;23;26;Samoa;Newcastle;2015-10-10;;
152;Wales;lost;6;15;-9;6;9;Australia;Twickenham;2015-10-10;;
153;Argentina;won;64;19;45;36;7;Namibia;Leicester;2015-10-11;;
154;Ireland;won;24;9;15;9;6;France;Millennium Stadium;2015-10-11;;
155;France;lost;9;24;-15;6;9;Ireland;Millennium Stadium;2015-10-11;;
156;United States of America;lost;18;28;-10;8;17;Japan;Gloucester;2015-10-11;;
157;Japan;won;28;18;10;17;8;United States of America;Gloucester;2015-10-11;;
158;Namibia;lost;19;64;-45;7;36;Argentina;Leicester;2015-10-11;;
159;Wales;lost;19;23;-4;13;12;South Africa;Twickenham;2015-10-17;;
160;France;lost;13;62;-49;13;29;New Zealand;Millennium Stadium;2015-10-17;;
161;South Africa;won;23;19;4;12;13;Wales;Twickenham;2015-10-17;;
162;New Zealand;won;62;13;49;29;13;France;Millennium Stadium;2015-10-17;;
163;Argentina;won;43;20;23;20;10;Ireland;Millennium Stadium;2015-10-18;;
164;Scotland;lost;34;35;-1;16;15;Australia;Twickenham;2015-10-18;;
165;Australia;won;35;34;1;15;16;Scotland;Twickenham;2015-10-18;;
166;Ireland;lost;20;43;-23;10;20;Argentina;Millennium Stadium;2015-10-18;;
167;South Africa;lost;18;20;-2;12;7;New Zealand;Twickenham;2015-10-24;;
168;New Zealand;won;20;18;2;7;12;South Africa;Twickenham;2015-10-24;;
169;Australia;won;29;15;14;19;9;Argentina;Twickenham;2015-10-25;;
170;Argentina;lost;15;29;-14;9;19;Australia;Twickenham;2015-10-25;;
171;South Africa;won;24;13;11;16;0;Argentina;London;2015-10-30;;
172;Argentina;lost;13;24;-11;0;16;South Africa;London;2015-10-30;;
173;Australia;lost;17;34;-17;3;16;New Zealand;Twickenham;2015-10-31;;
174;New Zealand;won;34;17;17;16;3;Australia;Twickenham;2015-10-31;;
