;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
0;wales;lost;16.0;21.0;-5.0;16.0;8.0;england;Millennium Stadium;06/02/2015;81.64;84.85
1;france;won;15.0;8.0;7.0;9.0;8.0;scotland;Stade de France;07/02/2015;79.66;78.78
2;scotland;lost;8.0;15.0;-7.0;8.0;9.0;france;Stade de France;07/02/2015;78.78;79.66
3;italy;lost;3.0;26.0;-23.0;3.0;9.0;ireland;Rome;07/02/2015;71.19;85.48
4;ireland;won;26.0;3.0;23.0;9.0;3.0;italy;Rome;07/02/2015;85.48;71.19
5;italy;lost;17.0;47.0;-30.0;5.0;15.0;england;Twickenham;14/02/2015;71.19;85.529
6;ireland;won;18.0;11.0;7.0;12.0;6.0;france;Lansdowne Road;14/02/2015;85.98920000000001;80.06280000000001
7;france;lost;11.0;18.0;-7.0;6.0;12.0;ireland;Lansdowne Road;14/02/2015;79.65544000000001;86.39656000000001
8;wales;won;26.0;23.0;3.0;16.0;10.0;scotland;Murrayfield;15/02/2015;81.6517;77.1773
9;scotland;lost;23.0;26.0;-3.0;10.0;16.0;wales;Murrayfield;15/02/2015;76.62474;82.20426
10;france;lost;13.0;20.0;-7.0;3.0;6.0;wales;Stade de France;28/02/2015;78.91032200000001;82.94937800000001
11;italy;won;22.0;19.0;3.0;15.0;16.0;scotland;Murrayfield;28/02/2015;72.733474;75.081266
12;wales;won;20.0;13.0;7.0;6.0;3.0;france;Stade de France;28/02/2015;83.54547240000001;78.31422760000001
13;scotland;lost;19.0;22.0;-3.0;16.0;15.0;italy;Murrayfield;28/02/2015;73.8464868;73.9682532
14;ireland;won;19.0;9.0;10.0;9.0;3.0;england;Lansdowne Road;01/03/2015;87.30980400000001;84.615756
15;russia;lost;0.0;33.0;-33.0;0.0;6.0;georgia;Tbilisi;14/03/2015;64.73;71.19
16;georgia;won;33.0;0.0;33.0;6.0;0.0;russia;Tbilisi;14/03/2015;71.19;64.73
17;scotland;lost;13.0;25.0;-12.0;13.0;10.0;england;Twickenham;14/03/2015;73.8464868;84.615756
18;wales;won;23.0;16.0;7.0;15.0;9.0;ireland;Millennium Stadium;14/03/2015;84.92190556000001;85.93337084000001
19;ireland;lost;16.0;23.0;-7.0;9.0;15.0;wales;Millennium Stadium;14/03/2015;84.83222431200001;86.02305208800001
20;france;won;29.0;0.0;29.0;9.0;0.0;italy;Rome;15/03/2015;79.16233144;73.12014936000001
21;italy;lost;0.0;29.0;-29.0;0.0;9.0;france;Rome;15/03/2015;72.52647667200002;79.756004128
22;ireland;won;40.0;10.0;30.0;20.0;10.0;scotland;Murrayfield;21/03/2015;84.83222431200001;73.8464868
23;wales;won;61.0;20.0;41.0;14.0;13.0;italy;Rome;21/03/2015;86.02305208800001;72.52647667200002
24;scotland;lost;10.0;40.0;-30.0;10.0;20.0;ireland;Murrayfield;21/03/2015;73.8464868;84.83222431200001
25;italy;lost;20.0;61.0;-41.0;13.0;14.0;wales;Rome;21/03/2015;72.52647667200002;86.02305208800001
26;france;lost;35.0;55.0;-20.0;15.0;27.0;england;Twickenham;21/03/2015;78.9849669088;85.3867932192
27;argentina;won;36.0;14.0;22.0;24.0;9.0;uruguay;Montevideo;16/05/2015;76.29;65.18
28;georgia;won;19.0;10.0;9.0;13.0;3.0;uruguay;Tbilisi;13/06/2015;72.0669;64.8341
29;samoa;lost;16.0;25.0;-9.0;3.0;12.0;new zealand;Apia;08/07/2015;75.39;93.7
30;new zealand;won;25.0;16.0;9.0;12.0;3.0;samoa;Apia;08/07/2015;93.7;75.39
31;russia;lost;19.0;39.0;-20.0;12.0;13.0;namibia;Windhoek;11/07/2015;64.65;57.74
32;namibia;won;39.0;19.0;20.0;13.0;12.0;russia;Windhoek;11/07/2015;57.74;64.65
33;argentina;lost;18.0;39.0;-21.0;6.0;18.0;new zealand;Christchurch;17/07/2015;76.29;93.7
34;new zealand;won;39.0;18.0;21.0;18.0;6.0;argentina;Christchurch;17/07/2015;93.7;76.29
35;japan;won;20.0;6.0;14.0;11.0;3.0;canada;San Jose;18/07/2015;73.7;66.83
36;namibia;won;45.0;5.0;40.0;16.0;5.0;russia;Windhoek;18/07/2015;62.05205000000001;60.33795
