Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
japan;won;30;10;20;12;7;russia;Tokyo Stadium;20/09/2019;76.70;64.81
australia;won;39;21;18;12;14;fiji;Sapporo Dome;21/09/2019;84.05;77.43
france;won;23;21;2;20;3;argentina;Tokyo Stadium;21/09/2019;79.72;76.29
new zealand;won;23;13;10;17;3;south africa;International Stadium Yokohama;21/09/2019;89.40;87.34
italy;won;47;22;25;21;7;namibia;Hanazono Rugby Stadium;22/09/2019;72.04;61.01
ireland;won;27;3;24;19;3;scotland;Hanazono Rugby Stadium;22/09/2019;89.47;81.00
england;won;35;3;32;18;3;tonga;Sapporo Dome;22/09/2019;88.13;71.04 
wales;won;43;14;29;29;0;georgia;City of Toyota Stadium;23/09/2019;87.32;73.67
russia;lost;9;34;-25;6;5;samoa;Kumagaya Rugby Stadium;24/09/2019;64.81;69.08
fiji;lost;27;30;-3;12;24;uruguay;Kamaishi Recovery Memorial Stadium;25/09/2019;76.42;65.18
italy;won;48;7;41;17;0;canada;Fukuoka Hakatanomori Stadium;26/09/2019;72.04;61.12
england;won;45;7;38;19;0;united states of america;Kobe Misaki Stadium;26/09/2019;88.13;72.18
argentina;won;28;12;16;28;7;tonga;Hanazono Rugby Stadium;28/09/2019;74.97;71.04
japan;won;19;12;7;9;12;ireland;Shizuoka Stadium Ecopa;28/09/2019;76.70;89.93
south africa;won;57;3;54;31;3;namibia;City of Toyota Stadium;28/09/2019;85.75;61.01
georgia;won;33;7;26;12;7;uruguay;Kumagaya Rugby Stadium;29/09/2019;73.29;69.18
australia;lost;25;29;-4;8;23;wales;Tokyo Stadium;29/09/2019;85.07;87.32
scotland;won;34;0;34;20;0;samoa;Kobe Misaki Stadium;30/09/2019;80.54;70.80
france;won;33;9;24;12;6;united states of america;Fukuoka Hakatanomori Stadium;02/10/2019;81.04;72.18
new zealand;won;63;0;63;28;0;canada;Oita Stadium;02/10/2019;90.98;61.12
georgia;lost;10;45;-35;3;7;fiji;Hanazono Rugby Stadium;03/10/2019;75.06;72.42
ireland;won;35;0;35;21;0;russia;Kamaishi Recovery Memorial Stadium;03/10/2019;85.93;63.09
south africa;won;49;3;46;17;3;italy;Shizuoka Stadium Ecopa;04/10/2019;85.75;72.04
australia;won;45;10;35;19;3;uruguay;Oita Stadium;05/10/2019;83.52;67.41
england;won;39;10;29;15;3;argentina;Tokyo Stadium;05/10/2019;88.13;76.79
japan;won;38;19;19;16;9;samoa;City of Toyota Stadium;05/10/2019;80.70;70.72
new zealand;won;71;9;62;24;9;namibia;Tokyo Stadium;06/10/2019;90.98;61.01
france;won;23;21;2;17;7;tonga;Kumamoto Stadium;06/10/2019;81.38;69.22
south africa;won;66;7;59;47;0;canada;Kobe Misaki Stadium;08/10/2019;85.75;61.12
argentina;won;47;17;30;19;5;united states of america;Kumagaya Rugby Stadium;09/10/2019;74.97;72.18
scotland;won;61;0;61;21;0;russia;Shizuoka Stadium Ecopa;09/10/2019;80.54;63.09
wales;won;29;17;12;14;10;fiji;Oita Stadium;09/10/2019;87.32;72.42
australia;won;27;8;19;10;3;georgia;Shizuoka Stadium Ecopa;11/10/2019;83.52;73.67
new zealand;draw;0;0;0;0;0;italy;City of Toyota Stadium;12/10/2019;90.98;72.04
england;draw;0;0;0;0;0;france;International Stadium Yokohama;12/10/2019;88.13;79.72
ireland;won;47;5;42;26;5;samoa;Fukuoka Hakatanomori Stadium;12/10/2019;85.93;70.72
