Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
united states of america;;;;;;;tonga;;13/10/2019;72.18;69.22
wales;;;;;;;uruguay;;13/10/2019;87.32;67.41
japan;;;;;;;scotland;;13/10/2019;80.7;80.54
england;;;;;;;australia;;19/10/2019;88.13;73.67
new zealand;;;;;;;ireland;;19/10/2019;90.98;85.93
wales;;;;;;;france;;19/10/2019;87.32;79.72
japan;;;;;;;south africa;;20/10/2019;80.70;85.75
england;;;;;;;new zealand;;26/10/2019;88.13;90.98
wales;;;;;;;south africa;;27/10/2019;87.32;85.75
england;;;;;;;south africa;;01/11/2019;88.13;87.32
new zealand;;;;;;;wales;;02/11/2019;90.98;85.75
